Id,CustomerId,FirstName,LastName,City,Email,SubscriptionDate
1,3263,Melanie,Young,Ericksonshire,mcphersonisaiah@example.com,2024-06-08
2,1094,Michael,Holmes,Smithfurt,travis09@example.com,2024-01-15
3,2148,Amanda,Joseph,Lake Todd,stefaniecabrera@example.net,2024-05-05
4,3812,Daniel,Griffith,Port Jasonland,oliviathompson@example.org,2024-05-02
5,4024,Cassandra,Moore,Haleymouth,devin30@example.net,2024-05-21
6,7171,Carol,Mann,Russellton,clarkegeorge@example.org,2024-01-18
7,6214,Jonathan,Miller,Ruthshire,xdavis@example.com,2024-04-01
8,3731,Jonathan,Smith,East Courtneyville,williamsonkristen@example.org,2024-01-03
9,8288,Marc,Henderson,Davidhaven,isosa@example.org,2024-01-20
10,8740,Karen,Green,Hannahtown,bruce72@example.org,2024-03-11
11,4805,William,Valdez,Lake Jamesside,stephenwilson@example.org,2024-01-18
12,5518,Richard,Ellis,Brittneyview,ogarcia@example.net,2024-03-24
13,5298,Ronald,Ward,Shafferburgh,xcastro@example.com,2024-03-07
14,9588,Andrew,Cabrera,Lisastad,qflowers@example.net,2024-04-23
15,3576,Scott,Newman,Michelleside,freynolds@example.com,2024-04-21
16,4616,Traci,Thompson,East Gregorystad,tammy40@example.com,2024-03-14
17,4524,Jennifer,Harrison,Port Joshuastad,brich@example.com,2024-02-02
18,7004,Troy,Mckenzie,Kennethville,vhayes@example.com,2024-02-03
19,2323,Gregory,Buckley,Port Kayla,bauerbrian@example.com,2024-01-05
20,1936,Joanne,Gomez,Teresaview,jasminerobinson@example.net,2024-05-17
21,7428,Bryan,Holt,East Michael,butlervalerie@example.com,2024-06-06
22,9484,Tanya,Mitchell,Leslieborough,bryan18@example.com,2024-06-17
23,3255,James,Turner,New Carolynfurt,andre80@example.org,2024-05-26
24,6752,Robert,Perez,South Michellestad,pmartin@example.net,2024-02-28
25,4316,Ashley,Fischer,Brockview,adammartinez@example.net,2024-06-07
26,9684,Aaron,Blevins,Matthewton,tiffany56@example.com,2024-04-04
27,1663,John,White,Davieston,rjackson@example.com,2024-04-01
28,3190,Joshua,Garza,Zavalashire,leemichael@example.org,2024-01-26
29,7838,Amanda,Nelson,Jessicaview,frankkatrina@example.net,2024-03-16
30,2634,Kristopher,Curry,Timothyton,monicagray@example.net,2024-05-16
