Id,CustomerId,FirstName,LastName,City,Email,SubscriptionDate
31,395,Kristin,Mathis,South Williamhaven,kfreeman@example.net,2024-05-09
32,224,Kelsey,Gonzalez,Grayland,tarabarnett@example.com,2024-06-17
33,369,Kelly,Haney,East Matthew,courtneyhoover@example.net,2024-05-12
34,302,Duane,Thomas,Heatherburgh,brewerjaime@example.org,2024-06-16
35,231,Dawn,Weaver,Williamsstad,tthomas@example.com,2024-02-26
36,496,Mary,Sanders,Lake Daltonburgh,lisanguyen@example.net,2024-03-26
37,166,Curtis,Rice,West Jasonfort,wmason@example.net,2024-06-07
38,226,Savannah,Campbell,Lake Ronaldchester,ricedeanna@example.net,2024-06-10
39,445,Jennifer,Faulkner,Matthewchester,brenda29@example.org,2024-02-16
40,428,Sara,Ross,Johnshire,donna53@example.org,2024-02-06
41,23,Amanda,Gilmore,East Samuel,thomasariana@example.com,2024-05-21
42,488,Theresa,Larson,Port Sarah,rhall@example.net,2024-02-13
43,398,John,Navarro,Port Eileenland,pmoore@example.org,2024-01-19
44,242,Larry,Williams,North Angelaton,rsawyer@example.com,2024-02-22
45,229,Shannon,Thomas,Lake Davidchester,williamshailey@example.net,2024-01-05
46,292,Justin,Taylor,Nolanville,darius90@example.org,2024-01-16
47,276,Barbara,Shepherd,Jesuschester,dsims@example.net,2024-05-16
48,105,Emily,Johnson,North Charles,hhampton@example.com,2024-04-01
49,81,Anthony,Barrera,Carsonside,charles82@example.org,2024-03-07
50,82,Jennifer,Richardson,Jonesborough,matthew99@example.com,2024-03-21
51,450,Diana,Wells,Port Mike,christinelopez@example.net,2024-05-01
52,129,Tasha,Crosby,Hernandezbury,aellison@example.net,2024-01-18
53,313,Edward,Salas,East Ashleyfort,jennifer88@example.com,2024-03-27
54,256,Jose,Thomas,Johnsonchester,rebeccawilliams@example.org,2024-06-16
55,265,Abigail,Alvarado,Markview,paul39@example.com,2024-05-20
56,395,Glen,Figueroa,South Elizabethfort,michael11@example.org,2024-06-05
57,184,Richard,Moore,South Rachel,xsanchez@example.org,2024-01-26
58,438,Kimberly,Dean,Mcdonaldhaven,brianmayer@example.org,2024-05-19
59,25,Derrick,Jenkins,West Brittneyside,martinbrittany@example.net,2024-06-03
60,363,Caitlin,Garcia,West Josephshire,james10@example.com,2024-05-18
