Id,CustomerId,FirstName,LastName,City,Email,SubscriptionDate
61,350,Eric,Moss,East Yvonne,markzavala@example.org,2024-05-26
62,438,Matthew,Hughes,New Jennifer,biancaprice@example.com,2024-04-22
63,422,Ashley,Bradford,Lake Lindsaytown,hernandezdeanna@example.net,2024-06-13
64,99,Stephen,White,Williamborough,fwheeler@example.org,2024-04-22
65,331,Ronnie,Phillips,North Justin,james43@example.net,2024-05-30
66,499,Gregory,Jimenez,Bryantbury,robertarmstrong@example.org,2024-02-29
67,184,Judith,Miller,North Julietown,eyoung@example.org,2024-05-30
68,475,Michelle,Hickman,Scotttown,laurafisher@example.net,2024-05-13
69,394,Corey,Salas,Jamesburgh,robert08@example.net,2024-01-17
70,95,Alyssa,Rodriguez,Ortegaside,jennifer92@example.org,2024-06-06
71,327,Joshua,Ortiz,Leahview,kimberlyvasquez@example.com,2024-03-17
72,467,Russell,Simpson,Hortonburgh,janetglover@example.com,2024-01-15
73,327,Hannah,Smith,Mcguirechester,johnsantiago@example.net,2024-04-21
74,296,Natalie,Pierce,West Christopherville,jacksonjoseph@example.com,2024-03-10
75,192,Sara,Gray,Lucasmouth,wallacewilliam@example.com,2024-02-17
76,282,Aaron,Perkins,Fitzgeraldhaven,kristen85@example.net,2024-06-06
77,424,Samuel,Ryan,Laurafurt,lucerodawn@example.com,2024-02-26
78,341,Nicholas,Henderson,Lake Justin,davisjames@example.net,2024-03-27
79,485,Eric,Graham,Port Danielmouth,kwatson@example.net,2024-06-19
80,175,Robert,Snow,South Tommyfort,mclaughlinjason@example.org,2024-02-04
81,7,Roy,Ball,Connorborough,tammy70@example.com,2024-06-13
82,346,Lauren,Curtis,Tamaraberg,marksavage@example.com,2024-02-27
83,234,Maria,Baker,Port Ryanport,boothjennifer@example.org,2024-04-20
84,164,Rebecca,Smith,Leeport,bowen@example.org,2024-03-30
85,259,Candice,Anderson,Port Joshua,rebeccatodd@example.com,2024-05-14
86,184,James,Bennett,Cranetown,robindavidson@example.net,2024-01-12
87,158,Joshua,Rodriguez,Bautistaberg,andrew76@example.com,2024-02-14
88,474,Tammy,Jacobs,Timothyberg,jameskidd@example.com,2024-01-01
89,164,Teresa,Ponce,North Kristinastad,johnmartin@example.net,2024-01-15
90,50,Nicole,Williams,North David,lisa54@example.net,2024-04-26
